name,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
GG4,https://images.leafly.com/flower-images/gg-4.jpg,Hybrid,20%,Caryophyllene,"Original Glue (GG4), developed by GG Strains, is a potent hybrid strain that delivers heavy-handed euphoria and relaxation, leaving you feeling “glued” to the couch. Its chunky, resin-covered buds fill the room with pungent earthy and sour aromas inherited from its parent strains, Chem’s Sister, Sour Dubb, and Chocolate Diesel. Taking first place in both the Michigan and Los Angeles 2014 Cannabis Cups as well as the High Times Jamaican World Cup, this multiple award-winning hybrid's supremacy is no longer a secret, and consumers will search far and wide to get their hands sticky with Original Glue (GG4).",66%,54%,51%,39%,27%,24%,12%,5%,4%,4%,29%,24%,23%,22%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.083,0.016,0.008,0.0,0.086,0.638,0.0,0.114,1.046,,0.16,0.049,0.0,0.0,,0.78,0.0,28.82,0.0,0.0,0.08,0.0,0.0,0.0,0.9,0.11,0.01,
Wedding Cake,https://images.leafly.com/flower-images/wedding-cake.jpg,Hybrid,22%,Limonene,"Wedding Cake is a potent indica-hybrid marijuana strain made by crossing Cherry Pie with Girl Scout Cookies. Wedding Cake provides relaxing and euphoric effects that calm the body and mind. This strain features a rich and tangy flavor profile with undertones of earthy pepper. Medical marijuana patients choose Wedding Cake to help relieve symptoms associated with pain, insomnia and appetite loss. Consumers with a low THC tolerance should enjoy this strain with an extra slice of care due to its high THC content. Wedding Cake has soared in popularity over the years and was named Leafly Strain of the Year in 2019. Fun fact: In Canada, this strain is known as Pink Cookies.",60%,50%,41%,35%,0%,17%,7%,4%,2%,2%,19%,12%,14%,16%,8%,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.008,0.002,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.022,0.053,0.455,0.0,0.205,0.719,,0.211,0.142,0.0,0.0,,0.51,0.0,18.49,0.0,0.0,0.06,0.0,0.0,0.0,0.35,0.06,0.0,
Gelato,https://images.leafly.com/flower-images/gelato.jpg,Hybrid,17%,Caryophyllene,"Gelato, aka Larry Bird, is a hybrid marijuana strain made by crossing Sunset Sherbet and Thin Mint Girl Scout Cookies. The effects of Gelato produce a euphoric high accompanied by strong feelings of relaxation. Consumers say the physical sensation comes on strong, but many find themselves still mentally agile enough to stay productive and creative during the day. Gelato gets its name from the fruity, dessert-like aroma it smells like. Novice consumers may want to approach this THC Powerhouse with caution, but those armed with a high THC tolerance will delight in the heavy-handed effects of this strain. Medical marijuana patients choose Gelato to help relieve symptoms associated with pain, fatigue, and insomnia. Growers say this strain produces buds that bloom in dark purple hues and is illuminated by fiery orange hairs and a shining white coat of crystal resin.",54%,49%,46%,37%,0%,20%,9%,4%,3%,3%,22%,16%,18%,19%,10%,0%,0%,0%,0%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.014,0.012,0.0,0.001,0.101,0.0,0.125,0.072,0.007,0.047,0.127,0.091,0.0,0.444,0.064,,0.104,0.628,0.0,0.0,,1.22,0.03,15.06,0.04,0.0,0.05,0.0,0.0,0.0,0.25,0.14,0.05,
Blue Dream,https://images.leafly.com/flower-images/blue-dream.png,Hybrid,18%,Myrcene,"Blue Dream is a sativa-dominant hybrid marijuana strain made by crossing Blueberry with Haze. Blue Dream produces a balancing high accompanied by full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the calming and euphoric effects that Blue Dream provides. Consumers also love the flavor - which smells and tastes just like sweet berries. Medical marijuana patients say Blue Dream delivers swift relief from symptoms associated with pain, depression, and nausea. Growers say this strain is best suited to the Sea of Green Method and has an average flowering time of 67 days. Fun Fact: Blue Dream originated in California and has achieved legendary status among West Coast strains.",48%,57%,52%,48%,0%,29%,16%,6%,6%,0%,36%,26%,27%,29%,13%,0%,0%,3%,0%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.347,0.476,0.463,0.0,1.158,0.061,,0.222,0.026,0.0,0.0,,7.96,0.0,66.14,0.08,0.24,0.18,0.0,0.0,0.0,0.57,0.2,0.16,
Purple Punch,https://images.leafly.com/flower-images/purple-punch-fixed.jpg,Indica,19%,Caryophyllene,"Purple Punch is the sweet and sedating union of two indica-dominant classics. By breeding Larry OG with Granddaddy Purple, the astonishing trichome laden Purple Punch was born, smelling of grape candy, blueberry muffins, and tart Kool-Aid. The potency of this strain gives the consumer a one-two punch to the head and body, initially landing between the eyes and settling down into the limbs. Purple Punch is a delicious dessert strain that is best suited for after dinner. Its effects may help with managing nausea, stress, minor body aches, and sleeplessness.",70%,47%,40%,26%,39%,20%,10%,5%,0%,2%,24%,18%,17%,24%,17%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.024,0.0,0.001,0.057,0.046,0.195,0.0,0.159,0.381,,0.098,0.077,0.0,0.0,,0.2,0.0,11.52,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.03,0.0,
Ice Cream Cake,,Indica,20%,Limonene,"Ice Cream Cake is an indica marijuana strain made by crossing Wedding Cake with Gelato #33. This strain offers sedating effects that leave your mind and body completely relaxed. Ice Cream Cake features a creamy flavor profile with sweet hints of vanilla and sugary dough. Medical marijuana patients choose this strain to help relieve symptoms associated with chronic pain, insomnia, and anxiety. Ice Cream Cake is ideal for night time use when you have nothing important to do except watch TV and fall asleep. Growers say this strain has light green and purple buds that are completely flushed with icy trichomes. ",75%,50%,42%,29%,40%,13%,7%,2%,0%,1%,20%,17%,16%,21%,13%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.005,0.013,0.002,0.008,0.0,0.0,0.278,0.0,0.002,0.053,0.197,0.018,0.0,0.453,0.262,,0.036,0.241,0.0,0.0,,0.41,0.0,20.72,0.0,0.0,0.04,0.0,0.0,0.0,0.6,0.09,,
GSC,https://images.leafly.com/flower-images/gsc.png,Hybrid,19%,Caryophyllene,"GSC, also called Girl Scout Cookies, is an indica-hybrid marijuana strain made by crossing OG Kush with Durban Poison. GSC produces euphoric effects followed by full-body relaxation. This strain typically features a high level of THC, so it is best reserved for consumers with a high THC tolerance. GSC is loved for its sweet and pungent flavor profile with notes of mint, cherry and lemon.",55%,60%,52%,45%,0%,25%,13%,5%,4%,4%,33%,25%,26%,25%,13%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.017,0.05,0.002,0.003,0.0,0.0,0.226,0.011,0.015,0.202,0.703,0.125,0.0,1.975,1.102,,0.149,0.661,0.0,0.0,,3.73,0.0,73.43,0.0,0.0,0.17,0.0,0.0,0.0,2.33,0.26,0.08,
OG Kush,https://images.leafly.com/flower-images/og-kush.png,Hybrid,18%,Myrcene,"OG Kush was first cultivated in Florida, in the early ‘90s when a strain from Northern California was crossed with a Hindu Kush plant from Amsterdam. The result was a hybrid with a unique terpene profile that boasts a complex aroma with notes of fuel, skunk, and spice. ",52%,56%,50%,38%,0%,34%,20%,7%,7%,0%,38%,27%,24%,28%,20%,30%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.013,0.092,0.0,0.0,0.019,0.0,0.12,0.0,0.008,0.547,0.85,0.086,0.0,2.706,0.186,,0.164,0.744,0.0,0.0,,1.94,0.0,67.34,0.12,0.0,0.16,0.0,0.0,0.0,1.93,0.2,0.0,
Sour Diesel,https://images.leafly.com/flower-images/sour-diesel.jpg,Sativa,18%,Caryophyllene,"Sour Diesel, aka Sour D, is a sativa marijuana strain made by crossing Chemdawg and Super Skunk. Sour Diesel produces dreamy cerebral effects that are fast-acting and energizing. This strain features a pungent flavor profile that smells like diesel. Medical marijuana patients choose Sour Diesel to help relieve symptoms associated with depression, pain, and stress. Growers say this strain grows best in a dry, outdoor climate and has a flowering time of 77 days. Fun fact: Sour Diesel first became popular in the early 1990s and has been legendary ever since.",0%,57%,49%,50%,0%,31%,17%,7%,9%,0%,34%,21%,26%,25%,0%,0%,0%,4%,0%,38%,45%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.021,0.0,0.0,0.141,0.072,0.0,0.403,0.39,,0.062,0.294,0.0,0.0,,76.4,0.57,0.22,0.53,3.46,0.07,0.3,0.0,0.0,0.0,2.47,0.09,
Zkittlez,,Indica,19%,Caryophyllene,"Zkittlez is an indica-dominant mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain to produce this candy-flavored strain bred by 3rd Gen Family and Terp Hogz. This award-winning combination took 1st Place at the 2016 Emerald Cup and 1st Place Indica at the 2015 Cannabis Cups in San Francisco and in Michigan. The chunky colas explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors. The effects of Zkittlez are calming, leaving consumers focused, alert, and happy while relaxing the body to help unwind any time of day.",54%,39%,30%,27%,21%,16%,8%,2%,0%,3%,18%,12%,14%,16%,9%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.134,0.112,0.139,0.102,0.0,0.0,6.778,0.04,0.122,0.069,10.474,0.544,0.0,32.262,0.396,,0.953,7.029,0.036,0.0,,,,,,,,,,,,,,
